0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:00:56 -0300] "GET /CapRat/www/footer/css/style.css HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:00:56 -0300] "GET /CapRat/www/common/cadastro-curriculo/css/style.css HTTP/1.1" 200 4237
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:00:56 -0300] "GET /CapRat/www/common/cadastro-curriculo/cadastro-curriculo.jsp HTTP/1.1" 200 8468
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:00:56 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:00:56 -0300] "GET /CapRat/www/common/cadastro-curriculo/css/style.css HTTP/1.1" 200 4237
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:00:56 -0300] "GET /CapRat/www/header/v1/css/style.css HTTP/1.1" 200 2627
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:00:56 -0300] "GET /CapRat/www/footer/css/style.css HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:00:56 -0300] "GET /CapRat/www/common/cadastro-curriculo/cadastro-curriculo.jsp HTTP/1.1" 200 8468
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:00:56 -0300] "GET /CapRat/www/header/v1/css/style.css HTTP/1.1" 200 2627
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:00:56 -0300] "GET /CapRat/www/footer/css/style.css HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:00:56 -0300] "GET /CapRat/www/common/cadastro-curriculo/css/style.css HTTP/1.1" 200 4237
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:00:57 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:00:57 -0300] "GET /CapRat/www/common/cadastro-curriculo/cadastro-curriculo.jsp HTTP/1.1" 200 8468
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:00:57 -0300] "GET /CapRat/www/footer/css/style.css HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:00:57 -0300] "GET /CapRat/www/header/v1/css/style.css HTTP/1.1" 200 2627
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:00:57 -0300] "GET /CapRat/www/common/cadastro-curriculo/css/style.css HTTP/1.1" 200 4237
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:08 -0300] "GET /CapRat/www/common/cadastro-curriculo/cadastro-curriculo.jsp HTTP/1.1" 200 8468
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:08 -0300] "GET /CapRat/www/footer/css/style.css HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:08 -0300] "GET /CapRat/www/header/v1/css/style.css HTTP/1.1" 200 2627
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:08 -0300] "GET /CapRat/www/common/cadastro-curriculo/css/style.css HTTP/1.1" 200 4203
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:08 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:23 -0300] "GET /CapRat/www/common/cadastro-curriculo/cadastro-curriculo.jsp HTTP/1.1" 200 8468
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:23 -0300] "GET /CapRat/www/common/cadastro-curriculo/css/style.css HTTP/1.1" 200 4203
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:23 -0300] "GET /CapRat/www/footer/css/style.css HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:23 -0300] "GET /CapRat/www/header/v1/css/style.css HTTP/1.1" 200 2627
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:23 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:24 -0300] "GET /CapRat/www/common/cadastro-curriculo/cadastro-curriculo.jsp HTTP/1.1" 200 8468
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:24 -0300] "GET /CapRat/www/footer/css/style.css HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:24 -0300] "GET /CapRat/www/header/v1/css/style.css HTTP/1.1" 200 2627
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:24 -0300] "GET /CapRat/www/common/cadastro-curriculo/css/style.css HTTP/1.1" 200 4203
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:24 -0300] "GET /CapRat/www/common/cadastro-curriculo/cadastro-curriculo.jsp HTTP/1.1" 200 8468
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:24 -0300] "GET /CapRat/www/header/v1/css/style.css HTTP/1.1" 200 2627
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:24 -0300] "GET /CapRat/www/footer/css/style.css HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:24 -0300] "GET /CapRat/www/common/cadastro-curriculo/css/style.css HTTP/1.1" 200 4203
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:24 -0300] "GET /CapRat/www/common/cadastro-curriculo/cadastro-curriculo.jsp HTTP/1.1" 200 8468
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:24 -0300] "GET /CapRat/www/footer/css/style.css HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:24 -0300] "GET /CapRat/www/common/cadastro-curriculo/css/style.css HTTP/1.1" 200 4203
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:24 -0300] "GET /CapRat/www/header/v1/css/style.css HTTP/1.1" 200 2627
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:25 -0300] "GET /CapRat/www/common/cadastro-curriculo/cadastro-curriculo.jsp HTTP/1.1" 200 8468
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:25 -0300] "GET /CapRat/www/header/v1/css/style.css HTTP/1.1" 200 2627
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:25 -0300] "GET /CapRat/www/common/cadastro-curriculo/css/style.css HTTP/1.1" 200 4203
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:25 -0300] "GET /CapRat/www/footer/css/style.css HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:25 -0300] "GET /CapRat/www/common/cadastro-curriculo/cadastro-curriculo.jsp HTTP/1.1" 200 8468
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:25 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:25 -0300] "GET /CapRat/www/footer/css/style.css HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:25 -0300] "GET /CapRat/www/header/v1/css/style.css HTTP/1.1" 200 2627
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:25 -0300] "GET /CapRat/www/common/cadastro-curriculo/css/style.css HTTP/1.1" 200 4203
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:25 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:25 -0300] "GET /CapRat/www/common/cadastro-curriculo/cadastro-curriculo.jsp HTTP/1.1" 200 8468
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:25 -0300] "GET /CapRat/www/header/v1/css/style.css HTTP/1.1" 200 2627
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:25 -0300] "GET /CapRat/www/common/cadastro-curriculo/css/style.css HTTP/1.1" 200 4203
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:25 -0300] "GET /CapRat/www/footer/css/style.css HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:25 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:25 -0300] "GET /CapRat/www/common/cadastro-curriculo/cadastro-curriculo.jsp HTTP/1.1" 200 8468
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:25 -0300] "GET /CapRat/www/header/v1/css/style.css HTTP/1.1" 200 2627
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:25 -0300] "GET /CapRat/www/footer/css/style.css HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:25 -0300] "GET /CapRat/www/common/cadastro-curriculo/css/style.css HTTP/1.1" 200 4203
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:26 -0300] "GET /CapRat/www/common/cadastro-curriculo/cadastro-curriculo.jsp HTTP/1.1" 200 8468
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:26 -0300] "GET /CapRat/www/header/v1/css/style.css HTTP/1.1" 200 2627
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:26 -0300] "GET /CapRat/www/common/cadastro-curriculo/css/style.css HTTP/1.1" 200 4203
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:26 -0300] "GET /CapRat/www/footer/css/style.css HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:26 -0300] "GET /favicon.ico HTTP/1.1" 404 774
